category_title	category_link	subforum_title	subforum_link	subforum_description	subforum_nb_threads	subforum_nb_comments
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	greetings and introductions	https://www.diabetes.co.uk/forum/category/greetings-and-introductions.20/	Introduce yourself to the Diabetes Community. Use this area to say hello and meet people for the first time. Welcome to the Diabetes Forum!	"7,652"	"73,419"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	newly diagnosed	https://www.diabetes.co.uk/forum/category/newly-diagnosed.39/	"If you are newly diagnosed with diabetes and would like to share your experiences or support with other people that have recently been diagnosed, please use this forum."	"5,230"	"72,301"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	diabetes discussions	https://www.diabetes.co.uk/forum/category/diabetes-discussions.1/	"Discuss diabetes issues, get help about diabetes, share your diabetes experiences, offer support, meet other diabetics and learn more about diabetes."	"12,404"	"236,260"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	ask a question	https://www.diabetes.co.uk/forum/category/ask-a-question.15/	"If you have a question relating to your diabetes, managing your diabetes or anything else that is diabetes related, ask the Diabetes Community here."	"27,688"	"262,424"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	type 1 diabetes	https://www.diabetes.co.uk/forum/category/type-1-diabetes.19/	Use this area of the forum for all discussion specifically relating to Type 1 Diabetes.	"12,424"	"182,220"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	insulin pump forum	https://www.diabetes.co.uk/forum/category/insulin-pump-forum.14/	"Forum for insulin pumpers and anyone interested in insulin pumps to discuss pump equipment, advantages, techniques, ask questions and offer support."	"3,488"	"35,869"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	type 2 diabetes	https://www.diabetes.co.uk/forum/category/type-2-diabetes.25/	Use this area of the forum for all discussion specifically relating to Type 2 Diabetes.	"10,543"	"249,119"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	type 1.5/lada diabetes	https://www.diabetes.co.uk/forum/category/type-1-5-lada-diabetes.41/	Use this area of the forum for all discussion specifically relating to Type 1.5/LADA Diabetes.	435	"7,202"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	type 3c (pancreatic) diabetes	https://www.diabetes.co.uk/forum/category/type-3c-pancreatic-diabetes.73/	"Forum to ask questions, find support and share experiences with people with Pancreatic Diabetes (aka Type 3c Diabetes)."	94	"1,194"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	prediabetes	https://www.diabetes.co.uk/forum/category/prediabetes.40/	An area of the forum dedicated to the discussion and experience of Prediabetes and Borderline Diabetes.	"1,281"	"17,481"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	gestational diabetes	https://www.diabetes.co.uk/forum/category/gestational-diabetes.21/	Discuss all aspects of Gestational Diabetes and gestational diabetes problems.	259	"1,748"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	reactive hypoglycemia	https://www.diabetes.co.uk/forum/category/reactive-hypoglycemia.70/	A forum to discover and discuss blood group disorders where hypoglycemic episodes are symptomatic.	343	"7,416"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	diabetes soapbox - have your say	https://www.diabetes.co.uk/forum/category/diabetes-soapbox-have-your-say.2/	Have your say about anything of concern to the diabetes community. This is your platform to make complaints and discuss the best way to solve them. We aim to assist you in any way.	"1,278"	"25,255"
diabetes discussion	https://www.diabetes.co.uk/forum/#diabetes-discussion.12	success stories and testimonials	https://www.diabetes.co.uk/forum/category/success-stories-and-testimonials.43/	"Lowered your HbA1c? Lost some weight? Maybe you’re proud of something someone else has done. Whatever it may be, share it here!"	855	"13,092"
"children, teens, young adults & parents"	https://www.diabetes.co.uk/forum/#children-teens-young-adults-parents.44	children & teens	https://www.diabetes.co.uk/forum/category/children-teens.46/	A section for children and young teens. Are you under 18? Head here to chat and meet people your own age!	554	"5,238"
"children, teens, young adults & parents"	https://www.diabetes.co.uk/forum/#children-teens-young-adults-parents.44	young people/adults	https://www.diabetes.co.uk/forum/category/young-people-adults.75/	"A forum for people aged 18 and above (young adults) to chat, share and make friends."	225	"2,798"
"children, teens, young adults & parents"	https://www.diabetes.co.uk/forum/#children-teens-young-adults-parents.44	parents	https://www.diabetes.co.uk/forum/category/parents.16/	A special section for parents of children with diabetes. This forum is for all discussion about caring for young people with diabetes and sharing your experience and knowledge.	971	"8,917"
"children, teens, young adults & parents"	https://www.diabetes.co.uk/forum/#children-teens-young-adults-parents.44	pregnancy	https://www.diabetes.co.uk/forum/category/pregnancy.47/	Trying to conceive or already pregnant? This forum is for women with diabetes who wish to become pregnant or are already pregnant.	"1,002"	"10,270"
off-topic	https://www.diabetes.co.uk/forum/#off-topic.31	general chat	https://www.diabetes.co.uk/forum/category/general-chat.5/	"Talk about everything and anything; world events, what books you are reading or films you've seen, what the weather was like... it's up to you."	"3,937"	"128,173"
off-topic	https://www.diabetes.co.uk/forum/#off-topic.31	forum games	https://www.diabetes.co.uk/forum/category/forum-games.66/	Post or join in with any forum games here!	62	"150,850"
off-topic	https://www.diabetes.co.uk/forum/#off-topic.31	jokes and humour	https://www.diabetes.co.uk/forum/category/jokes-and-humour.37/	"The place for you to share those hilarious videos, pictures, stories and jokes!"	"2,124"	"8,572"
food and nutrition	https://www.diabetes.co.uk/forum/#food-and-nutrition.28	"food, nutrition and recipes"	https://www.diabetes.co.uk/forum/category/food-nutrition-and-recipes.3/	"Add your own recipes, discuss food and what works for you, help other people with diabetes to understand about diet."	"3,427"	"40,895"
food and nutrition	https://www.diabetes.co.uk/forum/#food-and-nutrition.28	low-carb diet forum	https://www.diabetes.co.uk/forum/category/low-carb-diet-forum.18/	"A forum for discussing and learning more about low carb diets. There may be people trying low carb for the first time, so please be compassionate."	"5,266"	"118,098"
food and nutrition	https://www.diabetes.co.uk/forum/#food-and-nutrition.28	low calorie diets	https://www.diabetes.co.uk/forum/category/low-calorie-diets.24/	This forum is for discussion of low calorie diets including the Newcastle diet and for people who are consciously counting calories.	283	"6,433"
food and nutrition	https://www.diabetes.co.uk/forum/#food-and-nutrition.28	vegetarian diet forum	https://www.diabetes.co.uk/forum/category/vegetarian-diet-forum.71/	Forum for people who don't eat meat and those who would like to reduce their meat intake to discuss a vegetarian and/or vegan diet.	78	"3,282"
food and nutrition	https://www.diabetes.co.uk/forum/#food-and-nutrition.28	gluten-free forum	https://www.diabetes.co.uk/forum/category/gluten-free-forum.72/	Support forum for people who have a gluten intolerance and/or lead a gluten-free lifestyle.	30	354
food and nutrition	https://www.diabetes.co.uk/forum/#food-and-nutrition.28	fasting	https://www.diabetes.co.uk/forum/category/fasting.78/	"Use this forum to discuss fasting (5:2, intermittent fasting or otherwise)."	182	"4,657"
food and nutrition	https://www.diabetes.co.uk/forum/#food-and-nutrition.28	weight loss and dieting	https://www.diabetes.co.uk/forum/category/weight-loss-and-dieting.27/	Use this forum for all weight loss and dieting discussions. Ask questions and share your success stories here.	723	"12,471"
diabetes management	https://www.diabetes.co.uk/forum/#diabetes-management.29	diabetes medication and drugs	https://www.diabetes.co.uk/forum/category/diabetes-medication-and-drugs.26/	"For many people with diabetes, medication and drugs are an essential part of controlling blood glucose levels. Please use this forum for all questions relating to diabetes drugs."	"1,296"	"15,243"
diabetes management	https://www.diabetes.co.uk/forum/#diabetes-management.29	blood glucose monitoring	https://www.diabetes.co.uk/forum/category/blood-glucose-monitoring.42/	The place to discuss testing and monitoring - from daily blood glucose testing and CGM to HbA1c.	"1,955"	"24,479"
diabetes management	https://www.diabetes.co.uk/forum/#diabetes-management.29	diabetes complications	https://www.diabetes.co.uk/forum/category/diabetes-complications.34/	"Use this forum for all discussion about diabetes complications, how you prevent complications, what complications you have experienced and how they have affected you."	866	"10,457"
diabetes management	https://www.diabetes.co.uk/forum/#diabetes-management.29	other health conditions and diabetes	https://www.diabetes.co.uk/forum/category/other-health-conditions-and-diabetes.50/	"Discuss other medical conditions such as coeliac disease, IBS and thyroid problems and how they relate to diabetes."	605	"7,438"
diabetes management	https://www.diabetes.co.uk/forum/#diabetes-management.29	emotional and mental health	https://www.diabetes.co.uk/forum/category/emotional-and-mental-health.74/	Use this forum to discuss and find emotional and/or mental health support. We're in this together.	217	"3,242"
diabetes management	https://www.diabetes.co.uk/forum/#diabetes-management.29	alternative treatments	https://www.diabetes.co.uk/forum/category/alternative-treatments.10/	"Discuss complementary and alternative remedies, treatments and supplements. These don't have to be diabetes related, so long as they're of use to the diabetes community."	322	"3,314"
diabetes management	https://www.diabetes.co.uk/forum/#diabetes-management.29	"fitness, exercise and sport"	https://www.diabetes.co.uk/forum/category/fitness-exercise-and-sport.33/	"For all fitness, exercise and sport discussion. People with diabetes can benefit hugely from regular exercise. Use this forum to discuss what you do and how it helps you."	842	"14,667"
living with diabetes	https://www.diabetes.co.uk/forum/#living-with-diabetes.13	jobs and employment	https://www.diabetes.co.uk/forum/category/jobs-and-employment.8/	"Use this forum to discuss problems relating to diabetes and work, issues with your employer and discussions about employment."	307	"3,766"
living with diabetes	https://www.diabetes.co.uk/forum/#living-with-diabetes.13	benefits	https://www.diabetes.co.uk/forum/category/benefits.49/	"This forum is for any queries or advice you may have about benefits, tax credits, VAT exemption and diabetes-related legislation."	133	"1,902"
living with diabetes	https://www.diabetes.co.uk/forum/#living-with-diabetes.13	driving and dvla	https://www.diabetes.co.uk/forum/category/driving-and-dvla.48/	Discuss driving and DVLA guidelines in relation to diabetes here. Share your experiences here!	284	"3,206"
diabetes news and research	https://www.diabetes.co.uk/forum/#diabetes-news-and-research.30	diabetes news	https://www.diabetes.co.uk/forum/category/diabetes-news.35/	Discuss all diabetes related news - from whether you agree with the news to how it may effect you.	"4,688"	"11,959"
diabetes news and research	https://www.diabetes.co.uk/forum/#diabetes-news-and-research.30	diabetes research	https://www.diabetes.co.uk/forum/category/diabetes-research.36/	Discuss all aspects of diabetes research. Post links to diabetes research articles and their findings.	207	"1,609"
get involved	https://www.diabetes.co.uk/forum/#get-involved.45	book and product reviews	https://www.diabetes.co.uk/forum/category/book-and-product-reviews.4/	Use this area of the community to review and discuss books and products. Peer review can help others to make the right choices.	351	"3,175"
get involved	https://www.diabetes.co.uk/forum/#get-involved.45	community submitted guides & links	https://www.diabetes.co.uk/forum/category/community-submitted-guides-links.23/	Use this area of the forum to submit guides and links that other members of the community may find helpful.	49	549
get involved	https://www.diabetes.co.uk/forum/#get-involved.45	diabetes events	https://www.diabetes.co.uk/forum/category/diabetes-events.32/	"List and discuss diabetes events in your area or the wider environment.  If commercial in nature, please contact the moderating team before posting."	200	"1,132"
